,count,unique,top,freq,mean,std,min,25%,50%,75%,max
type,6497,2,white,4898,,,,,,,
fixed_acidity,6487.0,,,,7.2165793124710955,1.296749856526477,3.8,6.4,7.0,7.7,15.9
volatile_acidity,6489.0,,,,0.33969101556480197,0.16464902864429282,0.08,0.23,0.29,0.4,1.58
citric_acid,6494.0,,,,0.3187218971358176,0.14526480053397792,0.0,0.25,0.31,0.39,1.66
residual_sugar,6495.0,,,,5.444326404926867,4.7581247426727105,0.6,1.8,3.0,8.1,65.8
chlorides,6495.0,,,,0.05604157043879908,0.03503602522758981,0.009,0.038,0.047,0.065,0.611
free_sulfur_dioxide,6497.0,,,,30.525319378174544,17.7493997720025,1.0,17.0,29.0,41.0,289.0
total_sulfur_dioxide,6497.0,,,,115.7445744189626,56.52185452263028,6.0,77.0,118.0,156.0,440.0
density,6497.0,,,,0.9946966338309989,0.002998673003719039,0.98711,0.99234,0.99489,0.99699,1.03898
pH,6488.0,,,,3.218395499383477,0.1607483065508832,2.72,3.11,3.21,3.32,4.01
sulphates,6493.0,,,,0.531215154782073,0.14881412131628377,0.22,0.43,0.51,0.6,2.0
alcohol,6497.0,,,,10.491800831149455,1.192711748868981,8.0,9.5,10.3,11.3,14.9
quality,6497.0,,,,5.818377712790519,0.8732552715311248,3.0,5.0,6.0,6.0,9.0
high_quality,6497.0,,,,0.19655225488687086,0.3974214088953668,0.0,0.0,0.0,0.0,1.0
