fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,type_white
-0.010077068,-0.7855997,0.28835112,2.1421127,-0.3181439,2.0960033,1.1870888,1.498231,0.19142069,1.5477959,-0.91283804,0.57372123
0.14560549,-0.5462833,1.1848518,-0.9076026,-0.40365648,0.24907061,0.71106875,-0.99341416,-0.5514508,0.12998705,0.67301536,0.57372123
-0.08791816,1.4879053,-2.1253045,-0.6569411,0.67950225,-0.19867066,-1.281164,0.26566988,1.2438234,0.332531,0.17221937,-1.743007
4.3490286,2.9836323,2.1503139,-0.6360526,0.9075357,-0.98221785,-1.422207,1.6572706,-0.7371701,0.4675607,-0.07817863,-1.743007
0.37912878,1.7272217,-1.6425735,-0.74049497,0.56548554,-0.87028253,-1.5632501,0.66325873,0.62476236,0.062472384,-0.8293718,-1.743007
0.69049394,-0.5462833,0.15042788,0.97235894,-0.17562304,-0.030767675,0.094005495,0.8421856,-0.30382696,-0.27510127,-0.32857582,0.57372123
2.1694758,2.0861962,-1.4356886,-0.8449373,0.793519,-1.2620561,-1.6161412,0.35843143,-2.099101,-0.41013077,-0.66244006,-1.743007
0.067764394,0.47081098,0.42627418,0.28303972,-0.3181439,-0.08673533,0.11163587,-0.72834176,-0.18001504,-1.0852779,1.7580727,0.57372123
-1.8782648,-1.0249159,-0.26334167,-0.5316103,-0.7457066,-0.47850892,-0.08229828,-1.4904199,0.99619955,-1.2878221,0.67301536,0.57372123
-0.6328062,-0.6659414,-0.40126494,0.55458975,-0.061606303,0.92068255,1.151828,0.2325309,-0.6133582,-0.27510127,-0.91283804,0.57372123
0.92401683,-0.12747979,0.2193894,1.3065742,-0.7742108,-1.5418944,-1.2282729,-0.10211757,-1.2324177,-1.2878221,1.0903451,0.57372123
1.235382,1.6075637,-0.88399595,-0.30183727,1.0785607,-0.030767675,-0.8227741,1.0509336,0.0057028197,-0.20758662,-0.41204208,-1.743007
-0.32144144,-0.0078215655,0.28835112,0.7216973,-0.7742108,0.7527796,0.21741815,-0.503044,0.37713853,-1.2203075,1.2155437,0.57372123
-0.6328062,-1.0249159,-0.12541842,-0.5524988,-0.63168985,0.1371353,0.16452701,-1.0530565,-1.1705118,-0.27510127,-0.07817863,0.57372123
-0.24360035,-0.24713784,-0.47022644,-0.44805652,-0.43216062,-0.2546383,0.14689665,-0.1385744,-0.24192101,-0.20758662,-0.9963035,0.57372123
-0.16575927,-1.084745,0.28835112,-0.5942758,-0.7742108,-0.142703,-0.3114932,-1.139202,-0.6752642,-1.0852779,0.58954906,0.57372123
1.0796998,-0.6659414,0.977967,-0.9284912,-0.061606303,-1.2060885,-0.769883,-0.19821669,-1.6657593,-0.27510127,-1.1632352,0.57372123
0.30128768,-0.24713784,0.35731265,-0.80316037,0.87903154,-0.19867066,1.0813067,-0.105435416,-0.7990761,-0.20758662,-0.5789738,0.57372123
1.4689056,-0.36679608,1.1848518,-0.7196065,0.080914564,-1.1501209,-0.0646679,0.36506712,-0.42763886,-0.47764543,-0.32857582,0.57372123
-0.32144144,-0.5462833,-0.19438015,-0.7196065,-0.40365648,-0.6464119,1.2928711,0.16625293,1.4914472,0.062472384,-0.24511036,0.57372123
-0.24360035,-0.9650869,0.08146636,-0.9284912,-0.061606303,-0.36657363,0.85211176,-0.69520277,1.2438234,-0.14007197,0.0052876365,0.57372123
-1.489059,-0.18730882,0.42627418,1.0559127,-0.7172025,1.2564886,0.42898268,-0.49309048,0.74857426,-0.47764543,1.0068789,0.57372123
-0.010077068,-0.6659414,0.4952357,-0.8240488,-0.09011054,-0.2546383,-0.17045015,-1.0066658,-0.24192101,-0.41013077,0.5060836,0.57372123
0.067764394,-0.5462833,-0.3323032,-0.3436142,-0.26113564,-0.8143149,-0.6464703,-0.9834804,-0.922888,-0.47764543,0.67301536,0.57372123
-1.022012,-0.36679608,0.15042788,-0.38539115,-0.46066487,1.0885855,1.381023,-1.1590893,0.5628564,-0.07255732,0.9234134,0.57372123
-0.6328062,0.17166568,-0.81503433,0.032378104,1.7341568,1.7042298,1.1870888,-0.035859346,0.12951472,-0.6801896,-0.8293718,0.57372123
-0.32144144,-0.7855997,1.1848518,1.8914512,0.1094187,1.0885855,0.957894,1.4584761,2.048601,-0.61267495,-0.5789738,0.57372123
0.45697027,-0.8454287,-0.81503433,-0.8449373,-0.5746816,-0.31060597,-0.57594883,-1.2651025,-1.1705118,-0.47764543,1.0068789,0.57372123
0.30128768,1.1887602,-1.2977655,-0.6151642,1.1640733,-0.36657363,-0.87566525,1.0442979,1.0581055,0.53507537,-0.91283804,-1.743007
-0.16575927,0.111836664,0.012504628,0.96191466,-0.3181439,0.36100593,0.27030927,-0.39037544,-0.7990761,-1.3553368,1.0068789,0.57372123
1.6245878,-0.0078215655,1.1848518,0.38748202,-0.11861467,-0.030767675,0.53476495,1.0940063,-0.30382696,0.53507537,-0.24511036,0.57372123
1.0796998,-0.8454287,0.7021205,-0.8240488,-0.43216062,0.24907061,0.16452701,-0.72834176,-0.6752642,-0.27510127,0.7564808,0.57372123
0.69049394,-0.6061124,0.42627418,-0.23917183,-0.34664813,1.0326179,0.99315476,0.43132535,0.93429214,1.4127666,0.25568563,0.57372123
-0.32144144,-0.5462833,0.15042788,-0.15561807,-0.7172025,0.19310296,0.3232004,-0.6620835,-0.05620313,-1.0177633,0.088753894,0.57372123
0.6126525,-0.42662507,0.08146636,-0.88671416,-0.17562304,0.5848766,-0.22334129,-1.5500622,-1.3562297,-0.5451603,1.5911403,0.57372123
-0.3992829,-0.48645428,1.1848518,0.55458975,-0.11861467,0.97665024,1.4339142,0.29217318,-0.18001504,-0.34261614,-0.8293718,0.57372123
0.2234466,-0.72577053,-0.19438015,-0.13472953,-0.17562304,0.1371353,-0.50542736,-0.23133594,-0.4895448,-0.74770445,-0.49550834,0.57372123
1.3132226,0.94944364,-0.7460728,-0.67782956,0.9075357,-0.5344766,-1.3516855,0.7361527,0.6866683,2.0203989,0.5060836,-1.743007
-1.7225826,-0.8454287,0.5641975,-0.74049497,-1.1732694,-0.59044427,-0.3114932,-1.6560754,0.93429214,0.12998705,1.2990099,0.57372123
-0.5549651,0.2314947,-0.40126494,-0.051175766,-0.40365648,0.1371353,-0.0646679,-1.3346785,-0.9847939,-0.20758662,1.5076748,0.57372123
0.067764394,-0.0078215655,-0.12541842,-0.8658258,0.023906197,-0.31060597,1.0107851,0.03371673,0.25332662,-0.14007197,-1.1632352,0.57372123
-0.3992829,2.4451709,-1.3667271,-0.7196065,0.85052747,-1.0381855,-0.62883997,0.36506712,0.99619955,-0.07255732,-0.32857582,-1.743007
-0.16575927,-0.30696705,0.35731265,-0.80316037,-0.6031857,0.19310296,0.1821574,-1.3644997,0.25332662,-0.41013077,1.5076748,0.57372123
0.37912878,-1.0249159,1.3917364,0.095043525,-1.116261,-0.5344766,-0.5583185,-0.5958056,-0.4895448,-0.8827338,1.1738106,0.57372123
3.4149349,0.47081098,1.4606979,-0.44805652,1.3921067,0.1371353,-0.3114932,2.0880182,-0.118109085,2.8305755,-1.0797697,-1.743007
0.2234466,-1.0249159,0.8400437,1.2230204,-0.28963977,1.9281005,0.53476495,0.762656,-0.30382696,-0.5451603,-0.41204208,0.57372123
1.78027,1.3084182,0.08146636,-0.6360526,0.9360399,0.24907061,-0.85803485,0.82893395,0.37713853,1.3452519,1.0903451,-1.743007
0.7683346,0.59046924,-0.539188,-0.6569411,0.1949313,-1.1501209,-1.5456196,0.47439814,0.19142069,-0.005042669,-0.24511036,-1.743007
0.2234466,-0.06765059,0.42627418,0.67992043,1.9906946,1.0326179,1.4691749,0.7991128,-1.4800415,0.26501635,-0.91283804,0.57372123
1.0018584,0.7699564,-0.3323032,-0.74049497,0.05241033,-0.7023796,-1.3693159,0.15963699,-0.3657329,2.1554286,0.5060836,-1.743007
-0.5549651,0.5306402,-0.9529575,1.6094569,-0.68869823,-0.31060597,0.27030927,0.31535864,0.06760877,-0.14007197,0.17221937,0.57372123
-0.86632985,-0.18730882,1.8055058,-0.092952654,-0.489169,0.30503827,-0.029407144,-1.2584866,0.50095046,0.4675607,1.5076748,0.57372123
-0.5549651,0.7101274,-0.056456894,-0.092952654,-0.83121914,-0.87028253,-0.769883,-1.0099837,0.25332662,0.4675607,0.8399471,0.57372123
-0.6328062,1.5178202,-1.2288039,-0.051175766,0.05241033,-0.87028253,-0.3291236,0.1331337,0.99619955,-1.1527926,-1.2467015,0.57372123
0.84617615,2.2357688,-1.1598423,-0.7613834,0.9360399,-1.1501209,-1.1224905,0.6963977,0.06760877,1.6153105,-0.8293718,-1.743007
-0.86632985,-1.1445742,-0.19438015,0.15770885,-0.28963977,0.47294128,0.6229169,0.0039153416,2.3581307,-0.61267495,0.088753894,0.57372123
0.84617615,1.8468798,-1.5046504,-0.5316103,0.9360399,-0.7583472,-1.3340552,1.1039401,0.43904448,0.12998705,-0.8293718,-1.743007
-0.08791816,-0.48645428,0.012504628,1.8810071,0.5084773,-0.08673533,-0.15281978,1.0940063,-1.6038533,-0.74770445,-1.0797697,0.57372123
-1.022012,-0.72577053,0.9090053,3.5834167,1.8196695,1.3684238,0.11163587,0.5506099,-0.7371701,-1.2203075,1.9250045,0.57372123
-0.08791816,0.5306402,2.0123909,1.3274628,-0.3181439,1.3124561,0.69343835,0.8951922,-0.6752642,-0.5451603,-1.4970995,0.57372123
-0.32144144,-0.48645428,0.15042788,2.016782,0.1094187,0.6408443,0.816851,0.77922547,0.12951472,-0.07255732,0.0052876365,0.57372123
-0.16575927,-0.6061124,0.2193894,-0.9284912,-0.68869823,0.6408443,-0.20571092,-1.596433,-0.3657329,-1.0852779,1.0068789,0.57372123
2.0916343,2.3853416,-0.26334167,-0.5942758,0.62249404,-0.5344766,-0.6817311,1.0940063,0.37713853,-0.14007197,-0.5789738,-1.743007
-0.6328062,-0.30696705,0.012504628,-0.6360526,-1.2017735,0.19310296,-0.4701666,-1.5301749,0.12951472,0.87264895,1.6746064,0.57372123
-0.477124,3.7015812,-2.1942663,-0.7613834,0.73651075,-1.4299592,-1.7571841,-0.36387214,1.7390711,-0.61267495,1.1738106,-1.743007
-0.08791816,-0.42662507,-0.3323032,1.0350242,-0.43216062,-0.2546383,-0.029407144,-0.44669986,-1.1086059,-0.07255732,0.8399471,0.57372123
-1.1776946,-0.72577053,-0.6771112,2.340553,-0.34664813,0.47294128,-0.099928655,1.2762313,0.12951472,-0.34261614,-1.2467015,0.57372123
0.6126525,0.47081098,-1.0219191,-0.7196065,0.47997305,-1.3739915,-1.7219235,0.82893395,0.43904448,0.53507537,-1.0797697,-1.743007
0.84617615,3.013547,-2.1253045,-0.67782956,0.39446056,-1.4299592,-1.792445,0.66325873,0.62476236,0.332531,0.42261735,-1.743007
-0.7106473,-0.6659414,0.08146636,-0.8240488,-0.5746816,-0.87028253,-0.18808053,-1.2253476,0.62476236,-0.74770445,0.58954906,0.57372123
0.2234466,-0.30696705,2.4261603,0.55458975,-0.5461774,1.2564886,0.8873725,0.63011974,-1.9752891,-0.8152191,-1.3301678,0.57372123
-0.08791816,1.9665382,-2.1942663,-0.6569411,0.76501477,-0.7023796,-1.5632501,0.98797345,1.3676353,0.062472384,-0.91283804,-1.743007
-0.78848875,-0.72577053,-0.26334167,-0.67782956,-0.46066487,-0.36657363,0.16452701,-0.99341416,-0.18001504,-0.34261614,0.0052876365,0.57372123
-0.010077068,-0.8454287,0.15042788,-0.57338727,-0.68869823,1.0326179,0.6229169,-1.5566782,-0.3657329,-0.95024866,1.8415382,0.57372123
0.84617615,3.0434616,-1.2288039,-0.6151642,1.0500567,-0.98221785,-1.0872297,0.8421856,0.87238616,0.062472384,-0.32857582,-1.743007
-0.010077068,-0.48645428,-0.12541842,-0.6987181,-0.6601941,1.0885855,0.7463295,-1.2584866,0.6866683,-0.6801896,1.3407431,0.57372123
-0.6328062,0.17166568,1.1848518,1.6407896,-0.3181439,1.2564886,2.2449114,1.1602646,-0.4895448,-0.34261614,-1.6640311,0.57372123
0.37912878,-0.36679608,-0.19438015,0.30392814,-0.43216062,-0.08673533,0.83448136,0.16625293,1.3676353,0.4675607,0.0052876365,0.57372123
3.6484578,1.4280763,2.3571987,-0.6151642,0.4514688,-1.3739915,-1.3869463,1.4915953,-1.0466999,0.19750169,-0.41204208,-1.743007
0.2234466,-0.6061124,1.1848518,0.8261396,-0.23263139,1.0885855,0.5876561,0.49760333,-0.30382696,0.40004566,0.0052876365,0.57372123
-0.5549651,-0.48645428,0.15042788,2.2674434,-0.14711891,1.4243915,1.4339142,1.8891841,1.6771652,-0.74770445,-0.5789738,0.57372123
-1.2555357,-0.69585603,-0.539188,0.90969354,-0.061606303,1.5922945,0.42898268,0.2491004,-0.30382696,-0.95024866,-0.24511036,0.57372123
-1.022012,-0.30696705,-0.47022644,1.3692397,0.023906197,0.97665024,1.9099344,1.1271256,0.06760877,-0.8152191,-1.2467015,0.57372123
1.4689056,-0.24713784,0.633159,-0.7196065,0.3374523,-1.1501209,-1.6161412,0.17620647,0.31523257,2.1554286,1.0068789,-1.743007
-0.6328062,-0.7855997,-0.26334167,0.095043525,-0.26113564,-0.08673533,-0.25860205,-0.6355605,-0.42763886,-0.8827338,0.42261735,0.57372123
-0.477124,0.47081098,-1.2977655,1.5363474,-0.34664813,-0.2546383,0.7463295,1.0012251,0.12951472,-0.41013077,-1.2467015,0.57372123
-0.32144144,1.4879053,-1.5046504,-0.78227186,0.1949313,0.19310296,-1.1048602,0.36506712,1.1819174,0.9401636,-0.66244006,-1.743007
1.1575406,-0.6061124,0.2193894,-1.0120449,-0.40365648,-1.0941532,-0.7875134,-0.69520277,-0.860982,-1.0177633,0.088753894,0.57372123
0.84617615,-0.0078215655,0.5641975,-0.6360526,0.25193956,-0.36657363,-1.1930121,0.27892154,0.74857426,2.2229433,0.42261735,-1.743007
0.7683346,-0.0078215655,0.42627418,-0.6151642,0.67950225,-1.0381855,-1.0343386,1.0277284,0.50095046,-0.41013077,-1.2467015,-1.743007
-0.5549651,-1.0249159,0.08146636,-0.8449373,-0.80271494,-0.9262502,-0.29386282,-0.6289445,0.06760877,0.12998705,-0.32857582,0.57372123
-0.24360035,-1.2044032,0.42627418,-0.9284912,-0.43216062,-0.47850892,-0.6112096,-1.4142082,-1.1705118,0.062472384,0.7564808,0.57372123
-0.08791816,0.59046924,2.0813522,1.3274628,-0.34664813,1.2005209,0.6405472,0.9283312,-0.6133582,-0.47764543,-1.4970995,0.57372123
-0.3992829,0.41098195,0.7710822,-0.5524988,0.56548554,-0.47850892,-1.0872297,0.33856383,1.2438234,4.2483845,0.088753894,-1.743007
-0.16575927,-0.42662507,0.28835112,3.186536,-0.3181439,0.80874723,0.957894,2.0880182,-1.3562297,-0.5451603,-1.4136332,0.57372123
-0.08791816,-0.42662507,1.9434292,-0.6987181,0.5084773,-0.7583472,-1.5985107,1.1403773,0.99619955,1.2777373,0.088753894,-1.743007
0.067764394,0.82978547,0.012504628,-0.6987181,0.16642706,0.025199985,-1.0872297,0.8554372,0.50095046,0.805134,-0.41204208,-1.743007
-0.477124,-0.0078215655,0.5641975,0.55458975,-0.28963977,2.0960033,0.957894,0.08010737,-0.42763886,-0.20758662,-0.78763866,0.57372123
2.8700461,0.29132372,1.0469285,-0.7613834,1.7626611,-1.3739915,-1.792445,1.1602646,0.50095046,1.4802812,-0.5789738,-1.743007
0.2234466,-0.0078215655,0.2193894,0.11593197,-0.63168985,-1.0381855,0.1821574,-0.76148075,-0.3657329,-0.95024866,1.2572769,0.57372123
0.69049394,-0.36679608,0.977967,2.0794473,0.080914564,0.081167646,1.0813067,1.8891841,0.31523257,0.332531,-1.2467015,0.57372123
0.067764394,0.82978547,0.012504628,-0.6987181,0.16642706,0.025199985,-1.0872297,0.8554372,0.50095046,0.805134,-0.41204208,-1.743007
-0.5549651,-0.7855997,0.7021205,-0.9076026,0.080914564,0.1371353,-0.25860205,-0.6620835,-0.6133582,-1.0177633,-0.66244006,0.57372123
-0.32144144,-0.7855997,0.5641975,0.1785974,-0.68869823,0.52890897,0.094005495,-0.8476263,-0.24192101,-0.005042669,1.2572769,0.57372123
-0.08791816,0.5306402,0.7021205,0.0114896605,0.39446056,-0.08673533,0.23504853,0.86207294,1.2438234,1.2777373,0.0052876365,-1.743007
-0.08791816,0.17166568,-0.12541842,0.15770885,-0.46066487,1.0326179,0.41135228,-1.487102,-0.30382696,-1.7604251,2.5927322,0.57372123
-0.16575927,-0.36679608,0.08146636,1.9123398,-0.37515226,0.92068255,0.9226333,1.5578732,0.74857426,0.9401636,-1.4136332,0.57372123
-0.5549651,3.2528632,-2.1942663,-0.6569411,3.1308615,-1.3739915,-1.8277057,0.268968,2.1105068,-0.14007197,0.25568563,-1.743007
0.14560549,-0.9052578,1.1848518,0.80525124,-0.7457066,-0.2546383,0.28793964,-0.23133594,-1.4181356,-1.4228516,0.42261735,0.57372123
1.5467464,0.05200746,0.4952357,-0.9493796,-0.40365648,-0.87028253,-0.9638171,-0.76148075,-1.6038533,-1.6929104,-0.07817863,0.57372123
